generation,best_fitness,avg_fitness,best_conflicts,avg_conflicts
0,27,23.24,1,4.76
1,27,23.09,1,4.91
2,27,23.11,1,4.89
3,27,22.94,1,5.06
4,28,23.22,0,4.78
5,28,23.81,0,4.19
6,28,23.23,0,4.77
7,28,23.29,0,4.71
8,28,23.29,0,4.71
9,28,23.22,0,4.78
10,28,23.14,0,4.86
11,28,23.14,0,4.86
12,28,22.99,0,5.01
13,28,22.87,0,5.13
14,28,22.87,0,5.13
15,28,22.62,0,5.38
16,28,22.98,0,5.02
17,28,23.0,0,5.0
18,28,23.37,0,4.63
19,28,23.23,0,4.77
20,28,23.07,0,4.93
21,28,23.3,0,4.7
22,28,23.15,0,4.85
23,28,23.3,0,4.7
24,28,22.99,0,5.01
25,28,23.11,0,4.89
26,28,23.15,0,4.85
27,28,23.36,0,4.64
28,28,23.05,0,4.95
29,28,22.77,0,5.23
30,28,22.75,0,5.25
31,28,23.21,0,4.79
32,28,23.23,0,4.77
33,28,23.12,0,4.88
34,28,23.46,0,4.54
35,28,23.55,0,4.45
36,28,23.22,0,4.78
37,28,22.71,0,5.29
38,28,23.16,0,4.84
39,28,23.29,0,4.71
40,28,23.81,0,4.19
41,28,23.5,0,4.5
42,28,23.52,0,4.48
43,28,23.49,0,4.51
44,28,23.21,0,4.79
45,28,23.26,0,4.74
46,28,23.49,0,4.51
47,28,23.62,0,4.38
48,28,23.68,0,4.32
49,28,23.44,0,4.56
50,28,23.23,0,4.77
51,28,23.54,0,4.46
52,28,23.51,0,4.49
53,28,23.29,0,4.71
54,28,23.38,0,4.62
55,28,23.04,0,4.96
56,28,23.21,0,4.79
57,28,23.37,0,4.63
58,28,23.29,0,4.71
59,28,23.38,0,4.62
60,28,23.34,0,4.66
61,28,23.17,0,4.83
62,28,23.14,0,4.86
63,28,23.31,0,4.69
64,28,23.24,0,4.76
65,28,23.05,0,4.95
66,28,23.17,0,4.83
67,28,23.18,0,4.82
68,28,23.27,0,4.73
69,28,23.21,0,4.79
70,28,23.29,0,4.71
71,28,23.17,0,4.83
72,28,23.28,0,4.72
73,28,23.35,0,4.65
74,28,23.42,0,4.58
75,28,23.28,0,4.72
76,28,23.47,0,4.53
77,28,23.57,0,4.43
78,28,23.6,0,4.4
79,28,23.53,0,4.47
80,28,23.39,0,4.61
81,28,23.24,0,4.76
82,28,23.62,0,4.38
83,28,23.17,0,4.83
84,28,23.81,0,4.19
85,28,23.4,0,4.6
86,28,23.29,0,4.71
87,28,23.25,0,4.75
88,28,23.59,0,4.41
89,28,23.34,0,4.66
90,28,23.19,0,4.81
91,28,23.04,0,4.96
92,28,23.18,0,4.82
93,28,23.33,0,4.67
94,28,23.42,0,4.58
95,28,23.71,0,4.29
96,28,23.57,0,4.43
97,28,23.7,0,4.3
98,28,23.54,0,4.46
99,28,23.41,0,4.59
